ticket_description,category,priority
"Network outage reported on the office laptop, this is a minor issue (ticket 732)",Network,Low
"LAN connection is not detected during peak working hours, this is a moderate impact issue (ticket 733)",Network,Medium
"Cannot connect to WiFi network intermittently throughout the day, this is a low impact issue (ticket 734)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a needs attention issue (ticket 735)",Network,Medium
"LAN connection is not detected intermittently throughout the day, this is a moderate impact issue (ticket 736)",Network,Medium
"High network latency detected reported by several employees, this is a non-critical issue (ticket 737)",Network,Low
"Packet loss occurs frequently after recent configuration changes, this is a moderate impact issue (ticket 738)",Network,Medium
"Network outage reported for multiple users in the same department, this is a critical issue issue (ticket 739)",Network,High
"Network outage reported after the latest system update, this is a occasionally issue (ticket 740)",Network,Low
"VPN connection keeps disconnecting during peak working hours, this is a occasionally issue (ticket 741)",Network,Low
"LAN connection is not detected when connected to office network, this is a occasionally issue (ticket 742)",Network,Low
"LAN connection is not detected when connected to office network, this is a low impact issue (ticket 743)",Network,Low
"Network outage reported affecting critical business operations, this is a moderate impact issue (ticket 744)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a non-critical issue (ticket 745)",Network,Low
"Cannot connect to WiFi network after the latest system update, this is a low impact issue (ticket 746)",Network,Low
"LAN connection is not detected since this morning, this is a critical issue issue (ticket 747)",Network,High
"High network latency detected after the latest system update, this is a low impact issue (ticket 748)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a needs attention issue (ticket 749)",Network,Medium
"Network outage reported after recent configuration changes, this is a low impact issue (ticket 750)",Network,Low
"High network latency detected after the latest system update, this is a minor issue (ticket 751)",Network,Low
"Packet loss occurs frequently on the office laptop, this is a non-critical issue (ticket 752)",Network,Low
"Cannot connect to WiFi network affecting critical business operations, this is a low impact issue (ticket 753)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a affects productivity issue (ticket 754)",Network,Medium
"LAN connection is not detected during peak working hours, this is a non-critical issue (ticket 755)",Network,Low
"LAN connection is not detected since this morning, this is a needs attention issue (ticket 756)",Network,Medium
"LAN connection is not detected on the office laptop, this is a critical issue issue (ticket 757)",Network,High
"Network outage reported on the office laptop, this is a minor issue (ticket 758)",Network,Low
"High network latency detected for multiple users in the same department, this is a minor issue (ticket 759)",Network,Low
"High network latency detected during peak working hours, this is a affects productivity issue (ticket 760)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a moderate impact issue (ticket 761)",Network,Medium
"LAN connection is not detected when connected to office network, this is a occasionally issue (ticket 762)",Network,Low
"Packet loss occurs frequently on the office laptop, this is a critical issue issue (ticket 763)",Network,High
"LAN connection is not detected intermittently throughout the day, this is a moderate impact issue (ticket 764)",Network,Medium
"LAN connection is not detected after the latest system update, this is a non-critical issue (ticket 765)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a minor issue (ticket 766)",Network,Low
